Tipo de flujo energético;Periodo;Total
Total;2024;24.756,21
Total;2023;24.581,32
Total;2022;25.146,52
Total;2021;23.586,59
Total;2020;22.646,00
Total;2019;23.495,87
Total;2018;23.598,62
Total;2017;23.708,17
Total;2016;23.626,12
Total;2015;24.154,04
Total;2014;23.968,12
Total;2013;24.559,86
Total;2012;25.585,44
Total;2011;25.266,29
Total;2010;25.926,67
Total;2009;25.332,76
Total;2008;26.978,34
Total;2007;26.230,37
Total;2006;25.748,92
Total;2005;25.286,66
Total;2004;24.073,46
Total;2003;22.416,68
Total;2002;21.061,99
Total;2001;20.295,44
Total;2000;19.300,77
Total;1999;17.906,02
Total;1998;16.785,57
Total;1997;16.371,63
Total;1996;15.000,77
Total;1995;14.367,15
Total;1994;13.916,85
Total;1993;13.482,55
Total;1992;13.647,64
Total;1991;13.396,47
Total;1990;13.063,03
Combustibles fósiles;2024;5.582,04
Combustibles fósiles;2023;6.707,73
Combustibles fósiles;2022;9.050,82
Combustibles fósiles;2021;7.528,80
Combustibles fósiles;2020;7.445,57
Combustibles fósiles;2019;9.507,14
Combustibles fósiles;2018;9.563,03
Combustibles fósiles;2017;10.847,12
Combustibles fósiles;2016;9.217,02
Combustibles fósiles;2015;10.525,80
Combustibles fósiles;2014;9.173,60
Combustibles fósiles;2013;9.684,52
Combustibles fósiles;2012;12.435,08
Combustibles fósiles;2011;12.495,79
Combustibles fósiles;2010;11.843,16
Combustibles fósiles;2009;14.095,10
Combustibles fósiles;2008;16.231,56
Combustibles fósiles;2007;16.112,81
Combustibles fósiles;2006;15.681,60
Combustibles fósiles;2005;15.838,18
Combustibles fósiles;2004;13.725,02
Combustibles fósiles;2003;11.979,79
Combustibles fósiles;2002;12.333,28
Combustibles fósiles;2001;10.294,41
Combustibles fósiles;2000;10.628,89
Combustibles fósiles;1999;10.226,91
Combustibles fósiles;1998;8.329,92
Combustibles fósiles;1997;8.276,27
Combustibles fósiles;1996;6.479,54
Combustibles fósiles;1995;7.347,55
Combustibles fósiles;1994;6.565,00
Combustibles fósiles;1993;6.373,86
Combustibles fósiles;1992;6.980,22
Combustibles fósiles;1991;6.124,85
Combustibles fósiles;1990;6.085,64
Energías renovables y residuos;2024;13.841,01
Energías renovables y residuos;2023;12.362,17
Energías renovables y residuos;2022;10.569,09
Energías renovables y residuos;2021;10.812,26
Energías renovables y residuos;2020;9.783,58
Energías renovables y residuos;2019;8.683,40
